observation,Count
"(""Cambodia's"", 'ADJ')",1
"(""Cambodia's"", 'ADP')",1
"(""Cambodia's"", 'PRON')",1
"(""Cambodia's"", 'DET')",1
"(""Cambodia's"", 'PRT')",1
"(""Cambodia's"", 'ADV')",1
"(""Cambodia's"", '.')",1
"('incisiveness', 'X')",1
"('incisiveness', 'NUM')",1
"('incisiveness', 'NOUN')",2
"('incisiveness', 'CONJ')",1
"('incisiveness', 'VERB')",1
"('incisiveness', 'ADJ')",1
"('incisiveness', 'ADP')",1
"('incisiveness', 'PRON')",1
"('incisiveness', 'DET')",1
"('incisiveness', 'PRT')",1
"('incisiveness', 'ADV')",1
"('incisiveness', '.')",1
"('Sumner', 'X')",1
"('Sumner', 'NUM')",1
"('Sumner', 'NOUN')",2
"('Sumner', 'CONJ')",1
"('Sumner', 'VERB')",1
"('Sumner', 'ADJ')",1
"('Sumner', 'ADP')",1
"('Sumner', 'PRON')",1
"('Sumner', 'DET')",1
"('Sumner', 'PRT')",1
"('Sumner', 'ADV')",1
"('Sumner', '.')",1
"(""Wisconsin's"", 'X')",1
"(""Wisconsin's"", 'NUM')",1
"(""Wisconsin's"", 'NOUN')",2
"(""Wisconsin's"", 'CONJ')",1
"(""Wisconsin's"", 'VERB')",1
"(""Wisconsin's"", 'ADJ')",1
"(""Wisconsin's"", 'ADP')",1
"(""Wisconsin's"", 'PRON')",1
"(""Wisconsin's"", 'DET')",1
"(""Wisconsin's"", 'PRT')",1
"(""Wisconsin's"", 'ADV')",1
"(""Wisconsin's"", '.')",1
"(""wasn't"", 'X')",1
"(""wasn't"", 'NUM')",1
"(""wasn't"", 'NOUN')",1
"(""wasn't"", 'CONJ')",1
"(""wasn't"", 'VERB')",7
"(""wasn't"", 'ADJ')",1
"(""wasn't"", 'ADP')",1
"(""wasn't"", 'PRON')",1
"(""wasn't"", 'DET')",1
"(""wasn't"", 'PRT')",1
"(""wasn't"", 'ADV')",1
"(""wasn't"", '.')",1
"('Horne', 'X')",1
"('Horne', 'NUM')",1
"('Horne', 'NOUN')",2
"('Horne', 'CONJ')",1
"('Horne', 'VERB')",1
"('Horne', 'ADJ')",1
"('Horne', 'ADP')",1
"('Horne', 'PRON')",1
"('Horne', 'DET')",1
"('Horne', 'PRT')",1
"('Horne', 'ADV')",1
"('Horne', '.')",1
"('moon', 'X')",1
"('moon', 'NUM')",1
"('moon', 'NOUN')",5
"('moon', 'CONJ')",1
"('moon', 'VERB')",2
"('moon', 'ADJ')",1
"('moon', 'ADP')",1
"('moon', 'PRON')",1
"('moon', 'DET')",1
"('moon', 'PRT')",1
"('moon', 'ADV')",1
"('moon', '.')",1
"('Enright', 'X')",1
"('Enright', 'NUM')",1
"('Enright', 'NOUN')",4
"('Enright', 'CONJ')",1
"('Enright', 'VERB')",1
"('Enright', 'ADJ')",1
"('Enright', 'ADP')",1
"('Enright', 'PRON')",1
"('Enright', 'DET')",1
"('Enright', 'PRT')",1
"('Enright', 'ADV')",1
"('Enright', '.')",1
"('repressions', 'X')",1
"('repressions', 'NUM')",1
"('repressions', 'NOUN')",2
"('repressions', 'CONJ')",1
"('repressions', 'VERB')",1
"('repressions', 'ADJ')",1
"('repressions', 'ADP')",1
"('repressions', 'PRON')",1
"('repressions', 'DET')",1
"('repressions', 'PRT')",1
"('repressions', 'ADV')",1
"('repressions', '.')",1
"('providence', 'X')",1
"('providence', 'NUM')",1
"('providence', 'NOUN')",2
"('providence', 'CONJ')",1
"('providence', 'VERB')",1
"('providence', 'ADJ')",1
"('providence', 'ADP')",1
"('providence', 'PRON')",1
"('providence', 'DET')",1
"('providence', 'PRT')",1
"('providence', 'ADV')",1
"('providence', '.')",1
"('unforgivable', 'X')",1
"('unforgivable', 'NUM')",1
"('unforgivable', 'NOUN')",1
"('unforgivable', 'CONJ')",1
"('unforgivable', 'VERB')",1
"('unforgivable', 'ADJ')",2
"('unforgivable', 'ADP')",1
"('unforgivable', 'PRON')",1
"('unforgivable', 'DET')",1
"('unforgivable', 'PRT')",1
"('unforgivable', 'ADV')",1
"('unforgivable', '.')",1
"('Can', 'X')",1
"('Can', 'NUM')",1
"('Can', 'NOUN')",1
"('Can', 'CONJ')",1
"('Can', 'VERB')",7
"('Can', 'ADJ')",1
"('Can', 'ADP')",1
"('Can', 'PRON')",1
"('Can', 'DET')",1
"('Can', 'PRT')",1
"('Can', 'ADV')",1
"('Can', '.')",1
"('spoilage', 'X')",1
"('spoilage', 'NUM')",1
"('spoilage', 'NOUN')",2
"('spoilage', 'CONJ')",1
"('spoilage', 'VERB')",1
"('spoilage', 'ADJ')",1
"('spoilage', 'ADP')",1
"('spoilage', 'PRON')",1
"('spoilage', 'DET')",1
"('spoilage', 'PRT')",1
"('spoilage', 'ADV')",1
"('spoilage', '.')",1
"('Marvin', 'X')",1
"('Marvin', 'NUM')",1
"('Marvin', 'NOUN')",4
"('Marvin', 'CONJ')",1
"('Marvin', 'VERB')",1
"('Marvin', 'ADJ')",1
"('Marvin', 'ADP')",1
"('Marvin', 'PRON')",1
"('Marvin', 'DET')",1
"('Marvin', 'PRT')",1
"('Marvin', 'ADV')",1
"('Marvin', '.')",1
"('depletion', 'X')",1
"('depletion', 'NUM')",1
"('depletion', 'NOUN')",4
"('depletion', 'CONJ')",1
"('depletion', 'VERB')",1
"('depletion', 'ADJ')",1
"('depletion', 'ADP')",1
"('depletion', 'PRON')",1
"('depletion', 'DET')",1
"('depletion', 'PRT')",1
"('depletion', 'ADV')",1
"('depletion', '.')",1
"('violated', 'X')",1
"('violated', 'NUM')",1
"('violated', 'NOUN')",1
"('violated', 'CONJ')",1
"('violated', 'VERB')",3
"('violated', 'ADJ')",1
"('violated', 'ADP')",1
"('violated', 'PRON')",1
"('violated', 'DET')",1
"('violated', 'PRT')",1
"('violated', 'ADV')",1
"('violated', '.')",1
"('carnival', 'X')",1
"('carnival', 'NUM')",1
"('carnival', 'NOUN')",2
"('carnival', 'CONJ')",1
"('carnival', 'VERB')",1
"('carnival', 'ADJ')",1
"('carnival', 'ADP')",1
"('carnival', 'PRON')",1
"('carnival', 'DET')",1
"('carnival', 'PRT')",1
"('carnival', 'ADV')",1
"('carnival', '.')",1
"('designed', 'X')",1
"('designed', 'NUM')",1
"('designed', 'NOUN')",1
"('designed', 'CONJ')",1
"('designed', 'VERB')",30
"('designed', 'ADJ')",1
"('designed', 'ADP')",1
"('designed', 'PRON')",1
"('designed', 'DET')",1
"('designed', 'PRT')",1
"('designed', 'ADV')",1
"('designed', '.')",1
"('1927', 'X')",1
"('1927', 'NUM')",8
"('1927', 'NOUN')",1
"('1927', 'CONJ')",1
"('1927', 'VERB')",1
"('1927', 'ADJ')",1
"('1927', 'ADP')",1
"('1927', 'PRON')",1
"('1927', 'DET')",1
"('1927', 'PRT')",1
"('1927', 'ADV')",1
"('1927', '.')",1
"('Spangled', 'X')",1
"('Spangled', 'NUM')",1
"('Spangled', 'NOUN')",1
"('Spangled', 'CONJ')",1
"('Spangled', 'VERB')",1
"('Spangled', 'ADJ')",2
"('Spangled', 'ADP')",1
"('Spangled', 'PRON')",1
"('Spangled', 'DET')",1
"('Spangled', 'PRT')",1
"('Spangled', 'ADV')",1
"('Spangled', '.')",1
"('peculiarities', 'X')",1
"('peculiarities', 'NUM')",1
"('peculiarities', 'NOUN')",2
"('peculiarities', 'CONJ')",1
"('peculiarities', 'VERB')",1
"('peculiarities', 'ADJ')",1
"('peculiarities', 'ADP')",1
"('peculiarities', 'PRON')",1
"('peculiarities', 'DET')",1
"('peculiarities', 'PRT')",1
"('peculiarities', 'ADV')",1
"('peculiarities', '.')",1
"('An', 'X')",1
"('An', 'NUM')",1
"('An', 'NOUN')",1
"('An', 'CONJ')",1
"('An', 'VERB')",1
"('An', 'ADJ')",1
"('An', 'ADP')",1
"('An', 'PRON')",1
"('An', 'DET')",34
"('An', 'PRT')",1
"('An', 'ADV')",1
"('An', '.')",1
"('patiently', 'X')",1
"('patiently', 'NUM')",1
"('patiently', 'NOUN')",1
"('patiently', 'CONJ')",1
"('patiently', 'VERB')",1
"('patiently', 'ADJ')",1
"('patiently', 'ADP')",1
"('patiently', 'PRON')",1
"('patiently', 'DET')",1
"('patiently', 'PRT')",1
"('patiently', 'ADV')",2
"('patiently', '.')",1
"('Saloon', 'X')",1
"('Saloon', 'NUM')",1
"('Saloon', 'NOUN')",2
"('Saloon', 'CONJ')",1
"('Saloon', 'VERB')",1
"('Saloon', 'ADJ')",1
"('Saloon', 'ADP')",1
"('Saloon', 'PRON')",1
"('Saloon', 'DET')",1
"('Saloon', 'PRT')",1
"('Saloon', 'ADV')",1
"('Saloon', '.')",1
"('Kan.', 'X')",1
"('Kan.', 'NUM')",1
"('Kan.', 'NOUN')",4
"('Kan.', 'CONJ')",1
"('Kan.', 'VERB')",1
"('Kan.', 'ADJ')",1
"('Kan.', 'ADP')",1
"('Kan.', 'PRON')",1
"('Kan.', 'DET')",1
"('Kan.', 'PRT')",1
"('Kan.', 'ADV')",1
"('Kan.', '.')",1
"('Billikens', 'X')",1
"('Billikens', 'NUM')",1
"('Billikens', 'NOUN')",3
"('Billikens', 'CONJ')",1
"('Billikens', 'VERB')",1
"('Billikens', 'ADJ')",1
"('Billikens', 'ADP')",1
"('Billikens', 'PRON')",1
"('Billikens', 'DET')",1
"('Billikens', 'PRT')",1
"('Billikens', 'ADV')",1
"('Billikens', '.')",1
"('charities', 'X')",1
"('charities', 'NUM')",1
"('charities', 'NOUN')",4
"('charities', 'CONJ')",1
"('charities', 'VERB')",1
"('charities', 'ADJ')",1
"('charities', 'ADP')",1
"('charities', 'PRON')",1
"('charities', 'DET')",1
"('charities', 'PRT')",1
"('charities', 'ADV')",1
"('charities', '.')",1
"('imbalances', 'X')",1
"('imbalances', 'NUM')",1
"('imbalances', 'NOUN')",2
"('imbalances', 'CONJ')",1
"('imbalances', 'VERB')",1
"('imbalances', 'ADJ')",1
"('imbalances', 'ADP')",1
"('imbalances', 'PRON')",1
"('imbalances', 'DET')",1
"('imbalances', 'PRT')",1
"('imbalances', 'ADV')",1
"('imbalances', '.')",1
"('stand-ins', 'X')",1
"('stand-ins', 'NUM')",1
"('stand-ins', 'NOUN')",4
"('stand-ins', 'CONJ')",1
"('stand-ins', 'VERB')",1
"('stand-ins', 'ADJ')",1
"('stand-ins', 'ADP')",1
"('stand-ins', 'PRON')",1
"('stand-ins', 'DET')",1
"('stand-ins', 'PRT')",1
"('stand-ins', 'ADV')",1
"('stand-ins', '.')",1
"('heredity', 'X')",1
"('heredity', 'NUM')",1
"('heredity', 'NOUN')",2
"('heredity', 'CONJ')",1
"('heredity', 'VERB')",1
"('heredity', 'ADJ')",1
"('heredity', 'ADP')",1
"('heredity', 'PRON')",1
"('heredity', 'DET')",1
"('heredity', 'PRT')",1
"('heredity', 'ADV')",1
"('heredity', '.')",1
"('satisfactory', 'X')",1
"('satisfactory', 'NUM')",1
"('satisfactory', 'NOUN')",1
"('satisfactory', 'CONJ')",1
"('satisfactory', 'VERB')",1
"('satisfactory', 'ADJ')",6
"('satisfactory', 'ADP')",1
"('satisfactory', 'PRON')",1
"('satisfactory', 'DET')",1
"('satisfactory', 'PRT')",1
"('satisfactory', 'ADV')",1
"('satisfactory', '.')",1
"('Hardy', 'X')",1
"('Hardy', 'NUM')",1
"('Hardy', 'NOUN')",3
"('Hardy', 'CONJ')",1
"('Hardy', 'VERB')",1
"('Hardy', 'ADJ')",1
"('Hardy', 'ADP')",1
"('Hardy', 'PRON')",1
"('Hardy', 'DET')",1
"('Hardy', 'PRT')",1
"('Hardy', 'ADV')",1
"('Hardy', '.')",1
"('spokesmen', 'X')",1
"('spokesmen', 'NUM')",1
"('spokesmen', 'NOUN')",9
"('spokesmen', 'CONJ')",1
"('spokesmen', 'VERB')",1
"('spokesmen', 'ADJ')",1
"('spokesmen', 'ADP')",1
"('spokesmen', 'PRON')",1
"('spokesmen', 'DET')",1
"('spokesmen', 'PRT')",1
"('spokesmen', 'ADV')",1
"('spokesmen', '.')",1
"('nephews', 'X')",1
"('nephews', 'NUM')",1
"('nephews', 'NOUN')",2
"('nephews', 'CONJ')",1
"('nephews', 'VERB')",1
"('nephews', 'ADJ')",1
"('nephews', 'ADP')",1
"('nephews', 'PRON')",1
"('nephews', 'DET')",1
"('nephews', 'PRT')",1
"('nephews', 'ADV')",1
"('nephews', '.')",1
"('300th', 'X')",1
"('300th', 'NUM')",1
"('300th', 'NOUN')",1
"('300th', 'CONJ')",1
"('300th', 'VERB')",1
"('300th', 'ADJ')",2
"('300th', 'ADP')",1
"('300th', 'PRON')",1
"('300th', 'DET')",1
"('300th', 'PRT')",1
"('300th', 'ADV')",1
"('300th', '.')",1
"('Gauer', 'X')",1
"('Gauer', 'NUM')",1
"('Gauer', 'NOUN')",3
"('Gauer', 'CONJ')",1
"('Gauer', 'VERB')",1
"('Gauer', 'ADJ')",1
"('Gauer', 'ADP')",1
"('Gauer', 'PRON')",1
"('Gauer', 'DET')",1
"('Gauer', 'PRT')",1
"('Gauer', 'ADV')",1
"('Gauer', '.')",1
"('kids', 'X')",1
"('kids', 'NUM')",1
"('kids', 'NOUN')",8
"('kids', 'CONJ')",1
"('kids', 'VERB')",2
"('kids', 'ADJ')",1
"('kids', 'ADP')",1
"('kids', 'PRON')",1
"('kids', 'DET')",1
"('kids', 'PRT')",1
"('kids', 'ADV')",1
"('kids', '.')",1
"('$80', 'X')",1
"('$80', 'NUM')",1
"('$80', 'NOUN')",2
"('$80', 'CONJ')",1
"('$80', 'VERB')",1
"('$80', 'ADJ')",1
"('$80', 'ADP')",1
"('$80', 'PRON')",1
"('$80', 'DET')",1
"('$80', 'PRT')",1
"('$80', 'ADV')",1
"('$80', '.')",1
"('apostates', 'X')",1
"('apostates', 'NUM')",1
"('apostates', 'NOUN')",2
"('apostates', 'CONJ')",1
"('apostates', 'VERB')",1
"('apostates', 'ADJ')",1
"('apostates', 'ADP')",1
"('apostates', 'PRON')",1
"('apostates', 'DET')",1
"('apostates', 'PRT')",1
"('apostates', 'ADV')",1
"('apostates', '.')",1
"('idioms', 'X')",1
"('idioms', 'NUM')",1
"('idioms', 'NOUN')",2
"('idioms', 'CONJ')",1
"('idioms', 'VERB')",1
"('idioms', 'ADJ')",1
"('idioms', 'ADP')",1
"('idioms', 'PRON')",1
"('idioms', 'DET')",1
"('idioms', 'PRT')",1
"('idioms', 'ADV')",1
"('idioms', '.')",1
"('veils', 'X')",1
"('veils', 'NUM')",1
"('veils', 'NOUN')",3
"('veils', 'CONJ')",1
"('veils', 'VERB')",1
"('veils', 'ADJ')",1
"('veils', 'ADP')",1
"('veils', 'PRON')",1
"('veils', 'DET')",1
"('veils', 'PRT')",1
"('veils', 'ADV')",1
"('veils', '.')",1
"('Cauffman', 'X')",1
"('Cauffman', 'NUM')",1
"('Cauffman', 'NOUN')",2
"('Cauffman', 'CONJ')",1
"('Cauffman', 'VERB')",1
"('Cauffman', 'ADJ')",1
"('Cauffman', 'ADP')",1
"('Cauffman', 'PRON')",1
"('Cauffman', 'DET')",1
"('Cauffman', 'PRT')",1
"('Cauffman', 'ADV')",1
"('Cauffman', '.')",1
"('Ezra', 'X')",1
"('Ezra', 'NUM')",1
"('Ezra', 'NOUN')",2
"('Ezra', 'CONJ')",1
"('Ezra', 'VERB')",1
"('Ezra', 'ADJ')",1
"('Ezra', 'ADP')",1
"('Ezra', 'PRON')",1
"('Ezra', 'DET')",1
"('Ezra', 'PRT')",1
"('Ezra', 'ADV')",1
"('Ezra', '.')",1
"('Gentleman', 'X')",1
"('Gentleman', 'NUM')",1
"('Gentleman', 'NOUN')",2
"('Gentleman', 'CONJ')",1
"('Gentleman', 'VERB')",1
"('Gentleman', 'ADJ')",1
"('Gentleman', 'ADP')",1
"('Gentleman', 'PRON')",1
"('Gentleman', 'DET')",1
"('Gentleman', 'PRT')",1
"('Gentleman', 'ADV')",1
"('Gentleman', '.')",1
"('even-handed', 'X')",1
"('even-handed', 'NUM')",1
"('even-handed', 'NOUN')",1
"('even-handed', 'CONJ')",1
"('even-handed', 'VERB')",1
"('even-handed', 'ADJ')",2
"('even-handed', 'ADP')",1
"('even-handed', 'PRON')",1
"('even-handed', 'DET')",1
"('even-handed', 'PRT')",1
"('even-handed', 'ADV')",1
"('even-handed', '.')",1
"('ayes', 'X')",1
"('ayes', 'NUM')",1
"('ayes', 'NOUN')",2
"('ayes', 'CONJ')",1
"('ayes', 'VERB')",1
"('ayes', 'ADJ')",1
"('ayes', 'ADP')",1
"('ayes', 'PRON')",1
"('ayes', 'DET')",1
"('ayes', 'PRT')",1
"('ayes', 'ADV')",1
"('ayes', '.')",1
"('dummy', 'X')",1
"('dummy', 'NUM')",1
"('dummy', 'NOUN')",1
"('dummy', 'CONJ')",1
"('dummy', 'VERB')",1
"('dummy', 'ADJ')",3
"('dummy', 'ADP')",1
"('dummy', 'PRON')",1
"('dummy', 'DET')",1
"('dummy', 'PRT')",1
"('dummy', 'ADV')",1
"('dummy', '.')",1
"('equals', 'X')",1
"('equals', 'NUM')",1
"('equals', 'NOUN')",1
"('equals', 'CONJ')",1
"('equals', 'VERB')",2
"('equals', 'ADJ')",1
"('equals', 'ADP')",1
"('equals', 'PRON')",1
"('equals', 'DET')",1
"('equals', 'PRT')",1
"('equals', 'ADV')",1
"('equals', '.')",1
"('residents', 'X')",1
"('residents', 'NUM')",1
"('residents', 'NOUN')",12
"('residents', 'CONJ')",1
"('residents', 'VERB')",1
"('residents', 'ADJ')",1
"('residents', 'ADP')",1
"('residents', 'PRON')",1
"('residents', 'DET')",1
"('residents', 'PRT')",1
"('residents', 'ADV')",1
"('residents', '.')",1
"('dolphins', 'X')",1
"('dolphins', 'NUM')",1
"('dolphins', 'NOUN')",2
"('dolphins', 'CONJ')",1
"('dolphins', 'VERB')",1
"('dolphins', 'ADJ')",1
"('dolphins', 'ADP')",1
"('dolphins', 'PRON')",1
"('dolphins', 'DET')",1
"('dolphins', 'PRT')",1
"('dolphins', 'ADV')",1
"('dolphins', '.')",1
"('Coliseum', 'X')",1
"('Coliseum', 'NUM')",1
"('Coliseum', 'NOUN')",2
"('Coliseum', 'CONJ')",1
"('Coliseum', 'VERB')",1
"('Coliseum', 'ADJ')",1
"('Coliseum', 'ADP')",1
"('Coliseum', 'PRON')",1
"('Coliseum', 'DET')",1
"('Coliseum', 'PRT')",1
"('Coliseum', 'ADV')",1
"('Coliseum', '.')",1
"('satisfying', 'X')",1
"('satisfying', 'NUM')",1
"('satisfying', 'NOUN')",1
"('satisfying', 'CONJ')",1
"('satisfying', 'VERB')",5
"('satisfying', 'ADJ')",3
"('satisfying', 'ADP')",1
"('satisfying', 'PRON')",1
"('satisfying', 'DET')",1
"('satisfying', 'PRT')",1
"('satisfying', 'ADV')",1
"('satisfying', '.')",1
"('Widen', 'X')",1
"('Widen', 'NUM')",1
"('Widen', 'NOUN')",1
"('Widen', 'CONJ')",1
"('Widen', 'VERB')",2
"('Widen', 'ADJ')",1
"('Widen', 'ADP')",1
"('Widen', 'PRON')",1
"('Widen', 'DET')",1
"('Widen', 'PRT')",1
"('Widen', 'ADV')",1
"('Widen', '.')",1
"('Herrington', 'X')",1
"('Herrington', 'NUM')",1
"('Herrington', 'NOUN')",2
"('Herrington', 'CONJ')",1
"('Herrington', 'VERB')",1
"('Herrington', 'ADJ')",1
"('Herrington', 'ADP')",1
"('Herrington', 'PRON')",1
"('Herrington', 'DET')",1
"('Herrington', 'PRT')",1
"('Herrington', 'ADV')",1
"('Herrington', '.')",1
"('Marcel', 'X')",1
"('Marcel', 'NUM')",1
"('Marcel', 'NOUN')",2
"('Marcel', 'CONJ')",1
"('Marcel', 'VERB')",1
"('Marcel', 'ADJ')",1
"('Marcel', 'ADP')",1
"('Marcel', 'PRON')",1
"('Marcel', 'DET')",1
"('Marcel', 'PRT')",1
"('Marcel', 'ADV')",1
"('Marcel', '.')",1
"('overcome', 'X')",1
"('overcome', 'NUM')",1
"('overcome', 'NOUN')",1
"('overcome', 'CONJ')",1
"('overcome', 'VERB')",9
"('overcome', 'ADJ')",1
"('overcome', 'ADP')",1
"('overcome', 'PRON')",1
"('overcome', 'DET')",1
"('overcome', 'PRT')",1
"('overcome', 'ADV')",1
"('overcome', '.')",1
"('regarded', 'X')",1
"('regarded', 'NUM')",1
"('regarded', 'NOUN')",1
"('regarded', 'CONJ')",1
"('regarded', 'VERB')",12
"('regarded', 'ADJ')",1
"('regarded', 'ADP')",1
"('regarded', 'PRON')",1
"('regarded', 'DET')",1
"('regarded', 'PRT')",1
"('regarded', 'ADV')",1
"('regarded', '.')",1
"('5-to-3', 'X')",1
"('5-to-3', 'NUM')",2
"('5-to-3', 'NOUN')",1
"('5-to-3', 'CONJ')",1
"('5-to-3', 'VERB')",1
"('5-to-3', 'ADJ')",1
"('5-to-3', 'ADP')",1
"('5-to-3', 'PRON')",1
"('5-to-3', 'DET')",1
"('5-to-3', 'PRT')",1
"('5-to-3', 'ADV')",1
"('5-to-3', '.')",1
"('Pakistani', 'X')",1
"('Pakistani', 'NUM')",1
"('Pakistani', 'NOUN')",1
"('Pakistani', 'CONJ')",1
"('Pakistani', 'VERB')",1
"('Pakistani', 'ADJ')",2
"('Pakistani', 'ADP')",1
"('Pakistani', 'PRON')",1
"('Pakistani', 'DET')",1
"('Pakistani', 'PRT')",1
"('Pakistani', 'ADV')",1
"('Pakistani', '.')",1
"('diseases', 'X')",1
"('diseases', 'NUM')",1
"('diseases', 'NOUN')",5
"('diseases', 'CONJ')",1
"('diseases', 'VERB')",1
"('diseases', 'ADJ')",1
"('diseases', 'ADP')",1
"('diseases', 'PRON')",1
"('diseases', 'DET')",1
"('diseases', 'PRT')",1
"('diseases', 'ADV')",1
"('diseases', '.')",1
"('guard', 'X')",1
"('guard', 'NUM')",1
"('guard', 'NOUN')",7
"('guard', 'CONJ')",1
"('guard', 'VERB')",3
"('guard', 'ADJ')",1
"('guard', 'ADP')",1
"('guard', 'PRON')",1
"('guard', 'DET')",1
"('guard', 'PRT')",1
"('guard', 'ADV')",1
"('guard', '.')",1
"('withheld', 'X')",1
"('withheld', 'NUM')",1
"('withheld', 'NOUN')",1
"('withheld', 'CONJ')",1
"('withheld', 'VERB')",3
"('withheld', 'ADJ')",1
"('withheld', 'ADP')",1
"('withheld', 'PRON')",1
"('withheld', 'DET')",1
"('withheld', 'PRT')",1
"('withheld', 'ADV')",1
"('withheld', '.')",1
"('$16,000', 'X')",1
"('$16,000', 'NUM')",1
"('$16,000', 'NOUN')",2
